Country,GDP 2021,GDP 2022
Tajikistan,8937805347.13963,10492123387.793121
Turkmenistan,,
Latin America & the Caribbean (IDA & IBRD countries),5238233593531.768,5945540330771.453
Timor-Leste,3621222400.0,3163324631.03158
Middle East & North Africa (IDA & IBRD countries),1488905605615.5205,1657891406469.566
Tonga,469228124.1539136,
South Asia (IDA & IBRD),4062783801939.271,4361631457999.0166
Sub-Saharan Africa (IDA & IBRD countries),1926457861345.4587,2047347019065.527
Trinidad and Tobago,24460196270.11567,27899082337.368843
Tunisia,46687298709.35414,46664948951.65706
Turkiye,819034484303.1692,905987824096.1267
Tuvalu,60196366.80668213,60349391.09880335
Tanzania,70655628140.58261,75709289056.44566
Uganda,40510241365.90287,45559202048.73449
Ukraine,199765856764.5007,160502739236.09692
Upper middle income,28892609783448.426,30495971763308.605
Uruguay,61412268248.94612,71177146197.49512
United States,23315080560000.0,25462700000000.0
Uzbekistan,69600614988.60388,80391853884.76399
St. Vincent and the Grenadines,872226063.7055036,948558503.1263777
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,366137590717.8044,408802379068.2286
Vanuatu,971636097.8506658,983582864.5607963
World,97307247163535.92,101002996559081.08
Samoa,843850777.8238539,832421565.3723562
Kosovo,9412034299.231224,9429156201.958513
"Yemen, Rep.",,
South Africa,419015636064.7114,405869718462.3426
Zambia,22147649568.61215,29784454055.939106
Zimbabwe,28371238665.511635,20678055597.734528
